,b,epsp,alpha,Ec,Ev,Dn,Dp,gc,gv,N0,DIinf,EAI,Plim,inverted,dE,gcE,EcE,bE,epsE,DE,dH,gvH,EvH,bH,epsH,DH,tn,tp,vnE,vpE,vnH,vpH,ion_vmpp
150,3.0000000000000004e-07,30.0,10000000.0,-3.8,-5.35,1e-05,1e-05,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,1.0,5e+22,1e+24,-3.9,1e-07,3.0,1e-05,5e+21,1e+24,-5.15,1e-08,3.0,1e-05,1e-07,1e-08,1.0,1.0,0.01,0.01,0.9749999999999991
153,5.000000000000001e-07,15.0,20000000.0,-3.75,-5.35,1e-05,1e-05,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,1.0,5e+22,1e+24,-3.9,1e-07,3.0,1e-05,5e+21,1e+24,-5.15,1e-08,3.0,9.999999999999999e-10,1e-08,1e-07,0.01,0.01,1.0,1.0,0.8999999999999997
160,3.0000000000000004e-07,15.0,20000000.0,-3.8,-5.4,0.0001,1e-05,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,1.0,5e+22,1e+24,-4.0,1e-08,10.0,9.999999999999999e-10,5e+22,9.999999999999999e+24,-5.25,1e-07,3.0,1e-05,1e-07,1e-08,1.0,0.01,1.0,1.0,0.9450000000000006
163,5.000000000000001e-07,30.0,20000000.0,-3.8,-5.4,0.0001,1e-05,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,1.0,5e+22,1e+24,-4.0,1e-08,10.0,9.999999999999999e-10,5e+22,9.999999999999999e+24,-5.25,1e-07,3.0,1e-05,1e-07,1e-08,1.0,0.01,1.0,1.0,0.9300000000000002
177,5.000000000000001e-07,15.0,20000000.0,-3.8,-5.35,0.0001,1e-05,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,1.0,5e+22,1e+24,-4.0,1e-08,10.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-08,10.0,1e-05,1e-07,1e-08,1.0,0.01,0.01,1.0,0.9149999999999988
180,3.0000000000000004e-07,15.0,10000000.0,-3.8,-5.35,0.0001,1e-05,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,1.0,5e+22,1e+24,-4.0,1e-08,10.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-08,10.0,1e-05,1e-07,1e-08,1.0,0.01,0.01,0.01,0.9149999999999996
183,5.000000000000001e-07,30.0,10000000.0,-3.8,-5.35,0.0001,1e-05,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,1.0,5e+22,1e+24,-4.0,1e-08,10.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-08,10.0,1e-05,1e-07,1e-08,1.0,0.01,0.01,0.01,0.8400000000000001
189,5.000000000000001e-07,15.0,10000000.0,-3.75,-5.35,0.0001,1e-05,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,1.0,5e+22,1e+24,-4.0,1e-08,10.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-08,10.0,9.999999999999999e-10,1e-08,1e-07,0.01,1.0,1.0,0.01,0.93
193,5.000000000000001e-07,15.0,20000000.0,-3.8,-5.4,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,1.0,5e+22,1e+24,-4.0,1e-08,10.0,1e-05,5e+21,1e+24,-5.15,1e-07,3.0,9.999999999999999e-10,1e-08,1e-07,1.0,0.01,0.01,0.01,0.7949999999999994
194,3.0000000000000004e-07,30.0,20000000.0,-3.8,-5.4,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,1.0,5e+22,1e+24,-4.0,1e-08,10.0,1e-05,5e+21,1e+24,-5.15,1e-07,3.0,9.999999999999999e-10,1e-08,1e-07,1.0,0.01,0.01,0.01,0.8250000000000004
195,5.000000000000001e-07,30.0,20000000.0,-3.8,-5.4,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,0.0,5e+21,9.999999999999999e+24,-3.9,1e-07,3.0,9.999999999999999e-10,5e+22,9.999999999999999e+24,-5.25,1e-08,10.0,1e-05,1e-07,1e-08,0.01,1.0,1.0,1.0,0.6749999999999996
196,3.0000000000000004e-07,15.0,10000000.0,-3.8,-5.4,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,1.0,5e+22,1e+24,-4.0,1e-08,10.0,1e-05,5e+21,1e+24,-5.15,1e-07,3.0,9.999999999999999e-10,1e-08,1e-07,1.0,0.01,0.01,1.0,0.8249999999999996
198,3.0000000000000004e-07,30.0,10000000.0,-3.8,-5.4,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,0.0,5e+21,9.999999999999999e+24,-3.9,1e-07,3.0,9.999999999999999e-10,5e+22,9.999999999999999e+24,-5.25,1e-08,10.0,1e-05,1e-07,1e-08,0.01,1.0,1.0,0.01,0.7049999999999998
199,5.000000000000001e-07,30.0,10000000.0,-3.8,-5.4,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,1.0,5e+22,1e+24,-4.0,1e-08,10.0,1e-05,5e+21,1e+24,-5.15,1e-07,3.0,9.999999999999999e-10,1e-08,1e-07,1.0,0.01,0.01,1.0,0.8100000000000006
200,3.0000000000000004e-07,15.0,20000000.0,-3.75,-5.4,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,1.0,5e+22,1e+24,-4.0,1e-08,10.0,1e-05,5e+21,1e+24,-5.15,1e-07,3.0,1e-05,1e-07,1e-08,0.01,1.0,1.0,0.01,0.9709182480917194
203,5.000000000000001e-07,30.0,20000000.0,-3.75,-5.4,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,1.0,5e+22,1e+24,-4.0,1e-08,10.0,1e-05,5e+21,1e+24,-5.15,1e-07,3.0,1e-05,1e-07,1e-08,0.01,1.0,1.0,0.01,0.9539802499420966
204,3.0000000000000004e-07,15.0,10000000.0,-3.75,-5.4,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,0.0,5e+21,9.999999999999999e+24,-3.9,1e-07,3.0,9.999999999999999e-10,5e+22,9.999999999999999e+24,-5.25,1e-08,10.0,9.999999999999999e-10,1e-08,1e-07,1.0,0.01,0.01,0.01,0.8699999999999992
205,5.000000000000001e-07,15.0,10000000.0,-3.75,-5.4,1e-05,0.0001,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,1.0,5e+22,1e+24,-4.0,1e-08,10.0,1e-05,5e+21,1e+24,-5.15,1e-07,3.0,1e-05,1e-07,1e-08,0.01,1.0,1.0,1.0,0.9600000000000002
